dataSize,responseTime
1500,25.2915
1500,38.0220
1500,39.3290
1500,39.3121
1500,40.8605
1500,47.9238
1500,49.3084
1500,52.6105
1500,59.0914
1500,57.8392
1500,59.7631
1500,58.8501
1500,58.4417
1500,60.4375
1500,61.0649
1500,61.0518
1500,62.8962
1500,63.2511
1500,64.1438
1500,63.6181
1500,67.2996
1500,65.4225
1500,65.7700
1500,67.0674
1500,69.2935
1500,69.3168
1500,68.0863
1500,69.4333
1500,71.3625
1500,73.3262
1500,73.6845
1500,72.7960
1500,73.5281
1500,75.9483
1500,75.6851
1500,75.3485
1500,75.8816
1500,76.2568
1500,77.0685
1500,78.6586
1500,78.0744
1500,77.9574
1500,80.3885
1500,80.2721
1500,79.1552
1500,79.9548
1500,80.9850
1500,81.2916
1500,83.1890
1500,82.3313
1500,5.9484
1500,3.0472
1500,3.4602
1500,1.1663
1500,4.9998
1500,2.1142
1500,7.3589
1500,3.6107
1500,4.0800
1500,4.1424
1500,3.4999
1500,3.2329
1500,3.7651
1500,3.2644
1500,3.9793
1500,4.0070
1500,3.6544
1500,3.7211
1500,3.7073
1500,3.7462
1500,3.7452
1500,3.1313
1500,3.3044
1500,3.6804
1500,2.9162
1500,2.9145
1500,3.0612
1500,3.0520
1500,3.0649
1500,4.0461
1500,4.0627
1500,4.1326
1500,4.0330
1500,4.0355
1500,4.3087
1500,4.3657
1500,5.5362
1500,5.2452
1500,4.9253
1500,4.7608
1500,4.6044
1500,4.3502
1500,4.2900
1500,4.2622
1500,3.8372
1500,6.3138
1500,3.7617
1500,4.5661
1500,4.5066
1500,2.9545
1500,4.2485
1500,3.4746
1500,1.4919
1500,1.6564
1500,2.6200
1500,1.5338
1500,4.8310
1500,3.0379
1500,3.3340
1500,4.2577
1500,4.1162
1500,3.5463
1500,3.0007
1500,3.7645
1500,4.0830
1500,1.8363
1500,2.7778
1500,3.1095
1500,3.2664
1500,2.8968
1500,3.2008
1500,2.6953
1500,2.2456
1500,2.8045
1500,2.3435
1500,2.1542
1500,2.1405
1500,2.1213
1500,2.3068
1500,2.5298
1500,2.6262
1500,3.7718
1500,3.7113
1500,3.9623
1500,4.8289
1500,4.1424
1500,4.3054
1500,4.8815
1500,5.3356
1500,4.6408
1500,4.6962
1500,5.5414
1500,3.4281
1500,3.9308
1500,4.1569
1500,4.1499
1500,4.1960
1500,4.3029
1500,3.1787
1500,3.3513
1500,6.6957
1500,11.8470
1500,5.5236
1500,3.6499
1500,3.3658
1500,1.9113
1500,5.0995
1500,4.4309
1500,3.1049
1500,4.4023
1500,4.5144
1500,4.5659
1500,4.9966
1500,5.0805
1500,5.7688
1500,4.8088
1500,5.4009
1500,5.5775
1500,5.3436
1500,4.9080
1500,4.6680
1500,5.3066
1500,5.2765
1500,4.7542
1500,6.1322
1500,4.4637
1500,5.9116
1500,5.3897
1500,5.5862
1500,2.8187
1500,2.6963
1500,1.7629
1500,2.9020
1500,3.5825
1500,3.4101
1500,2.2876
1500,3.5501
1500,3.9183
1500,4.0553
1500,3.6315
1500,3.6789
1500,3.7204
1500,3.5121
1500,4.1259
1500,3.7385
1500,3.6539
1500,3.7170
1500,3.7055
1500,2.7328
1500,3.1552
1500,5.0651
1500,5.3752
1500,5.0931
1500,4.8963
1500,5.4610
1500,1.5676
1500,1.7660
1500,3.1726
1500,3.4121
1500,3.0554
1500,2.7283
1500,3.1258
1500,2.9723
1500,3.1967
1500,3.0097
1500,3.2164
1500,3.0684
1500,2.8933
1500,2.9763
1500,2.6757
1500,3.0362
1500,3.1555
1500,2.7835
1500,3.4036
1500,2.9976
1500,2.9693
1500,3.9529
1500,2.7370
1500,3.1908
1500,1.5040
1500,2.9145
1500,2.1020
1500,2.3449
1500,2.0526
1500,3.6866
1500,3.4237
1500,1.8338
1500,2.9113
1500,3.0650
1500,3.2436
1500,4.1700
1500,2.2540
1500,2.5585
1500,2.4899
1500,2.4409
1500,2.7067
1500,2.8008
1500,2.4850
1500,2.4332
1500,2.8223
1500,11.2208
1500,11.2208
1500,7.7369
1500,8.5059
1500,7.1540
1500,1.2132
1500,2.2282
1500,6.0570
1500,6.1909
1500,6.1941
1500,6.1993
1500,6.2304
1500,9.2866
1500,8.7687
1500,9.3928
1500,8.7668
1500,8.7368
1500,7.6230
1500,7.0160
1500,8.8497
1500,7.6974
1500,6.1410
1500,7.6817
1500,7.1579
1500,7.3274
1500,6.6331
1500,5.8926
1500,6.9721
1500,6.1172
1500,1.5837
1500,3.4535
1500,3.0014
1500,3.1526
1500,3.5166
1500,1.4052
1500,3.3454
1500,3.6912
1500,3.6673
1500,3.7204
1500,3.7433
1500,3.7370
1500,3.5688
1500,5.0187
1500,5.1076
1500,5.2541
1500,5.0564
1500,5.1251
1500,3.6361
1500,3.6818
1500,3.6289
1500,4.8663
1500,4.8060
1500,4.4568
1500,4.6007
1500,4.5454
1500,5.7756
1500,1.3861
1500,2.9067
1500,3.2718
1500,2.5853
1500,3.0701
1500,3.1588
1500,2.9360
1500,3.3801
1500,3.7485
1500,3.3466
1500,2.7484
1500,3.7199
1500,4.2275
1500,3.9709
1500,4.6366
1500,5.0243
1500,5.7359
1500,6.0368
1500,6.2193
1500,5.1397
1500,4.4190
1500,3.3216
1500,3.1906
1500,5.3137
1500,3.1201
1500,3.2037
1500,3.1610
1500,0.9560
1500,2.1230
1500,2.1675
1500,2.1244
1500,2.2107
1500,2.2903
1500,2.4183
1500,2.2419
1500,2.2664
1500,1.5210
1500,3.1122
1500,2.9046
1500,3.0693
1500,2.9901
1500,2.8890
1500,2.7974
1500,1.8639
1500,12.8434
1500,13.1194
1500,13.1194
1500,15.0950
1500,15.2500
1500,7.3202
1500,7.8429
1500,4.6834
1500,4.8766
1500,4.7213
1500,5.2623
1500,5.3671
1500,5.2575
1500,5.3721
1500,5.4108
1500,5.3908
1500,4.0680
1500,6.3616
1500,6.7248
1500,6.3685
1500,3.9387
1500,6.8248
1500,6.4337
1500,5.3531
1500,6.4782
1500,6.5755
1500,6.9089
1500,5.4625
1500,5.4795
1500,5.4522
1500,5.5117
1500,7.3887
1500,3.7053
1500,6.2363
1500,3.2563
1500,3.4444
1500,3.8921
1500,3.5938
1500,3.8343
1500,4.0958
1500,2.9817
1500,3.4612
1500,4.0008
1500,4.1368
1500,4.2665
1500,4.5066
1500,4.7453
1500,3.2211
1500,3.2103
1500,3.4484
1500,8.4545
1500,8.5892
1500,4.5975
1500,4.5640
1500,6.5669
1500,3.2732
1500,3.3609
1500,1.8415
1500,5.1127
1500,4.4869
1500,4.1673
1500,4.2402
1500,3.7143
1500,4.8614
1500,4.0947
1500,2.1226
1500,1.1670
1500,4.0943
1500,4.1183
1500,3.9245
1500,3.6443
1500,4.0954
1500,2.4380
1500,3.7060
1500,2.4470
1500,3.6763
1500,3.0902
1500,3.7188
1500,3.7600
1500,3.7597
1500,2.9158
1500,4.3439
1500,3.1392
1500,3.6741
1500,2.4507
1500,2.8140
1500,1.4175
1500,3.8996
1500,3.3615
1500,3.9005
1500,4.3072
1500,2.3817
1500,3.3507
1500,2.4168
1500,3.7320
1500,2.4501
1500,2.7225
1500,3.8529
1500,2.7378
1500,2.2638
1500,9.5461
1500,14.4269
1500,9.3902
1500,10.8201
1500,10.6449
1500,11.6068
1500,10.6447
1500,11.7135
1500,11.6772
1500,10.7211
1500,11.2611
1500,11.1657
1500,11.1015
1500,14.7697
1500,12.1892
1500,10.7391
1500,10.9367
1500,11.6800
1500,11.1088
1500,11.1172
1500,11.3403
1500,11.0634
1500,11.6977
1500,11.5063
1500,11.5010
1500,13.9099
1500,11.4290
1500,12.8598
1500,13.9401
1500,12.8112
1500,13.7363
1500,13.2465
1500,13.3427
1500,12.9982
1500,13.5607
1500,11.9638
1500,13.3065
1500,14.2303
1500,14.5253
1500,14.1869
1500,16.5232
1500,15.6505
1500,16.7676
1500,16.6590
1500,17.3833
1500,16.6905
1500,19.2518
1500,18.2383
1500,20.8266
1500,73.9086
1500,9.9264
1500,5.8704
1500,4.8556
1500,5.7747
1500,7.3089
1500,6.5720
1500,8.4212
1500,8.1135
1500,8.4432
1500,8.3458
1500,3.3367
1500,5.8594
1500,6.2615
1500,6.3357
1500,6.3000
1500,6.2485
1500,6.6847
1500,7.6253
1500,9.7252
1500,7.9301
1500,9.5980
1500,7.9641
1500,8.3492
1500,7.0985
1500,7.8634
1500,7.9341
1500,8.3465
1500,8.3012
1500,8.3630
1500,8.2241
1500,8.3450
1500,8.7416
1500,7.1573
1500,5.1264
1500,4.0673
1500,5.1593
1500,8.7688
1500,8.5238
1500,8.0386
1500,5.4468
1500,7.7259
1500,8.5137
1500,8.1304
1500,5.4121
1500,7.2746
1500,5.3770
1500,3.9807
1500,8.4878
1500,1.3649
1500,62.9388
1500,7.3380
1500,6.2128
1500,6.2565
1500,7.2483
1500,7.1780
1500,7.2485
1500,6.7242
1500,7.4077
1500,7.0760
1500,6.9325
1500,7.1409
1500,7.7509
1500,7.7365
1500,7.8397
1500,7.1902
1500,7.6525
1500,7.3633
1500,7.5633
1500,8.1688
1500,7.6840
1500,13.3448
1500,7.9348
1500,8.3753
1500,8.5274
1500,8.6761
1500,9.0827
1500,8.8755
1500,9.1829
1500,9.3938
1500,9.1066
1500,9.2434
1500,8.9767
1500,9.4512
1500,9.1600
1500,9.6975
1500,9.8396
1500,9.0192
1500,8.9683
1500,10.6044
1500,10.2625
1500,10.1309
1500,10.6889
1500,10.1540
1500,11.0594
1500,10.6657
1500,10.3964
1500,10.9214
1500,11.0099
1500,4.0728
1500,3.7545
1500,5.6037
1500,5.7073
1500,6.0911
1500,5.9345
1500,5.8077
1500,7.3551
1500,5.6553
1500,6.3451
1500,6.5039
1500,6.4133
1500,6.2267
1500,6.8777
1500,6.3067
1500,6.3682
1500,6.6083
1500,6.8460
1500,12.1041
1500,7.1354
1500,6.5626
1500,6.8425
1500,6.5085
1500,7.1306
1500,7.2868
1500,6.6047
1500,6.8524
1500,7.0523
1500,6.9184
1500,7.4986
1500,7.7730
1500,7.4915
1500,7.1294
1500,7.2032
1500,7.0336
1500,7.8098
1500,7.1878
1500,7.7809
1500,7.1020
1500,7.2082
1500,7.3080
1500,7.4744
1500,7.7047
1500,7.8080
1500,7.7432
1500,7.7193
1500,8.0164
1500,7.9932
1500,7.9812
1500,8.1535
1500,3.0877
1500,2.6582
1500,3.3976
1500,3.7092
1500,3.8078
1500,3.4704
1500,4.1815
1500,3.6925
1500,4.5935
1500,4.2216
1500,3.5965
1500,3.9773
1500,3.9078
1500,4.0584
1500,3.7817
1500,3.8367
1500,4.2736
1500,4.3705
1500,4.1264
1500,4.2858
1500,4.0924
1500,4.1890
1500,6.0763
1500,6.4550
1500,5.3836
1500,6.0597
1500,5.4218
1500,5.5663
1500,6.2480
1500,6.3554
1500,5.7893
1500,6.0013
1500,6.5318
1500,6.0906
1500,6.5835
1500,5.6882
1500,6.4658
1500,7.4005
1500,6.6636
1500,7.6277
1500,7.6486
1500,7.3974
1500,7.7640
1500,7.7184
1500,6.9010
1500,7.7925
1500,7.8066
1500,6.7813
1500,6.9560
1500,5.8606
1500,1.4608
1500,1.2793
1500,10.2884
1500,10.0200
1500,7.6504
1500,8.0287
1500,9.4718
1500,8.4214
1500,8.3949
1500,11.4215
1500,9.9302
1500,10.5830
1500,10.9313
1500,11.0800
1500,10.3554
1500,9.9072
1500,11.3544
1500,10.5049
1500,10.7360
1500,10.1478
1500,10.4443
1500,11.4837
1500,10.6424
1500,10.3511
1500,10.3965
1500,10.6183
1500,10.9761
1500,10.5461
1500,11.1463
1500,11.1210
1500,10.8062
1500,9.3845
1500,11.2581
1500,11.6770
1500,9.8143
1500,11.2190
1500,11.8998
1500,11.8268
1500,10.4745
1500,12.6305
1500,12.6054
1500,12.3185
1500,11.8639
1500,10.5583
1500,12.7045
1500,10.5507
1500,13.1275
1500,12.6000
1500,12.9900
1500,12.5526
1500,1.2560
1500,1.0952
1500,4.5015
1500,5.3823
1500,6.3933
1500,5.7182
1500,6.1141
1500,5.9302
1500,17.0862
1500,6.6923
1500,5.6617
1500,17.6219
1500,16.7694
1500,6.0560
1500,17.6880
1500,5.9988
1500,6.3173
1500,6.5177
1500,6.6231
1500,16.7808
1500,17.3198
1500,6.3727
1500,7.7075
1500,6.9840
1500,7.0491
1500,7.0323
1500,7.3691
1500,7.1747
1500,7.5511
1500,7.5252
1500,6.4391
1500,7.6223
1500,7.5061
1500,7.7144
1500,7.7206
1500,8.4498
1500,8.3035
1500,8.4123
1500,8.4291
1500,8.6798
1500,7.8260
1500,8.7246
1500,8.8436
1500,8.8950
1500,9.0777
1500,8.8009
1500,8.8274
1500,8.7434
1500,8.8605
1500,9.1331
1500,1.3053
1500,1.4648
1500,9.8260
1500,5.7963
1500,16.8808
1500,16.1587
1500,13.2445
1500,13.3098
1500,7.2105
1500,6.8277
1500,7.3919
1500,6.8553
1500,6.9875
1500,6.8085
1500,7.3061
1500,7.0500
1500,7.7816
1500,7.4445
1500,7.3052
1500,6.4813
1500,2.1717
1500,8.9527
1500,9.0876
1500,9.4334
1500,9.9290
1500,10.2656
1500,9.9249
1500,9.2927
1500,9.5083
1500,9.4816
1500,10.0143
1500,9.4366
1500,9.6263
1500,9.7452
1500,7.6255
1500,10.1069
1500,9.7806
1500,4.0447
1500,9.5272
1500,9.7569
1500,9.7323
1500,9.6770
1500,9.3326
1500,10.4434
1500,9.7159
1500,9.7764
1500,10.4815
1500,10.0568
1500,10.3081
1500,11.0205
1500,11.5612
1500,10.7345
1500,9.5018
1500,8.1380
1500,11.1690
1500,9.4128
1500,7.7668
1500,8.5368
1500,8.6882
1500,8.5474
1500,8.5858
1500,7.5500
1500,7.7579
1500,4.1153
1500,6.8687
1500,6.8628
