dataSize,responseTime
1500,30.0004
1500,35.1142
1500,35.2206
1500,38.2106
1500,40.3462
1500,40.8248
1500,42.2917
1500,42.9795
1500,43.3341
1500,45.2571
1500,46.4467
1500,47.0684
1500,47.5825
1500,47.7564
1500,49.4040
1500,49.4210
1500,49.8807
1500,52.8627
1500,52.5471
1500,53.1663
1500,55.3547
1500,54.4227
1500,56.7531
1500,56.8090
1500,55.5658
1500,56.4613
1500,57.3190
1500,57.9626
1500,59.1211
1500,59.2143
1500,57.8473
1500,58.3205
1500,58.7819
1500,60.2679
1500,60.1878
1500,61.4760
1500,60.6339
1500,60.5410
1500,61.5357
1500,62.0565
1500,62.1176
1500,62.9415
1500,62.6626
1500,63.1761
1500,64.3805
1500,63.3728
1500,64.6831
1500,65.7346
1500,66.5304
1500,66.4923
1500,13.3293
1500,11.5572
1500,6.9686
1500,5.9673
1500,15.4623
1500,12.3703
1500,10.0827
1500,14.5468
1500,12.2745
1500,11.6107
1500,11.9066
1500,5.1768
1500,25.8539
1500,27.6658
1500,27.6916
1500,29.3140
1500,25.9130
1500,25.6413
1500,33.4207
1500,33.4645
1500,33.7104
1500,40.8518
1500,40.9335
1500,41.5931
1500,45.1075
1500,60.6723
1500,45.3259
1500,69.9719
1500,45.4057
1500,56.2803
1500,46.7836
1500,62.8547
1500,56.8956
1500,43.3435
1500,47.2890
1500,34.9135
1500,34.8680
1500,64.8555
1500,58.4794
1500,35.2677
1500,35.2842
1500,35.5593
1500,64.7060
1500,36.1694
1500,36.1548
1500,36.1496
1500,36.3063
1500,56.8238
1500,67.0106
1500,72.4561
1500,7.4761
1500,7.2984
1500,6.4473
1500,5.4350
1500,5.4146
1500,1.2684
1500,1.0640
1500,1.1036
1500,4.8903
1500,4.0982
1500,1.6196
1500,1.3795
1500,1.3723
1500,1.0370
1500,0.9473
1500,0.9536
1500,1.1269
1500,1.2053
1500,1.3446
1500,1.3466
1500,1.3719
1500,1.1496
1500,1.3007
1500,1.4897
1500,1.8239
1500,1.8973
1500,1.7922
1500,1.8495
1500,2.6196
1500,1.3308
1500,2.7467
1500,2.0238
1500,3.4329
1500,1.0288
1500,2.8179
1500,0.8215
1500,0.7531
1500,0.9736
1500,0.9702
1500,0.9109
1500,1.0488
1500,1.0080
1500,1.1090
1500,1.5739
1500,1.6064
1500,1.2818
1500,1.2138
1500,1.4556
1500,1.6294
1500,1.2868
1500,2.6730
1500,2.1636
1500,1.6200
1500,1.6605
1500,1.4348
1500,0.8214
1500,1.7170
1500,0.9986
1500,1.5250
1500,1.3058
1500,1.3493
1500,1.3082
1500,1.6278
1500,2.3274
1500,2.1858
1500,2.2304
1500,1.1575
1500,1.5767
1500,1.1145
1500,1.0664
1500,1.1230
1500,0.9236
1500,1.0849
1500,1.1680
1500,1.4151
1500,0.9015
1500,1.3533
1500,0.9407
1500,1.2519
1500,2.6990
1500,2.7490
1500,6.8082
1500,5.6915
1500,2.3488
1500,8.5728
1500,8.3440
1500,4.9465
1500,2.5285
1500,2.5338
1500,1.8547
1500,1.1565
1500,1.6070
1500,13.6928
1500,20.3148
1500,20.5368
1500,18.4644
1500,18.3184
1500,21.4469
1500,67.3489
1500,68.2503
1500,8.9793
1500,8.0784
1500,4.4403
1500,8.4636
1500,7.1393
1500,7.4164
1500,7.9098
1500,7.6624
1500,8.6259
1500,4.9628
1500,3.2605
1500,3.2905
1500,3.2336
1500,3.2823
1500,3.3723
1500,3.3285
1500,1.0864
1500,3.8835
1500,4.2642
1500,4.1506
1500,4.2482
1500,0.8137
1500,1.1513
1500,1.1674
1500,1.1505
1500,1.1978
1500,0.9430
1500,0.8071
1500,0.9577
1500,0.9640
1500,3.1120
1500,2.7927
1500,2.6686
1500,2.8612
1500,1.1833
1500,1.6880
1500,2.0651
1500,1.9154
1500,1.8668
1500,1.4843
1500,1.5658
1500,1.1757
1500,1.1690
1500,1.1985
1500,1.0832
1500,1.0157
1500,50.4052
1500,1.5031
1500,1.2967
1500,2.0956
1500,12.1865
1500,12.4539
1500,5.0274
1500,5.2099
1500,5.6755
1500,5.6125
1500,5.6038
1500,5.7445
1500,9.9510
1500,6.0298
1500,6.2245
1500,6.3290
1500,14.4629
1500,6.4278
1500,6.3413
1500,6.4472
1500,6.7840
1500,14.6798
1500,9.5095
1500,7.2934
1500,9.3790
1500,9.8831
1500,9.2623
1500,18.1444
1500,9.6779
1500,12.0922
1500,8.8305
1500,12.2645
1500,20.4751
1500,3.4094
1500,5.6612
1500,3.4368
1500,12.4602
1500,5.6320
1500,4.3645
1500,6.4363
1500,2.6893
1500,1.9028
1500,1.8829
1500,7.0035
1500,4.9816
1500,1.4539
1500,1.3523
1500,1.3931
1500,1.3343
1500,1.4678
1500,1.7143
1500,1.2808
1500,1.6853
1500,1.6852
1500,4.6549
1500,4.8299
1500,2.5947
1500,1.9400
1500,2.6233
1500,2.3498
1500,3.3167
1500,2.3351
1500,8.2832
1500,4.4650
1500,5.6816
1500,5.3007
1500,6.0614
1500,4.5845
1500,5.2740
1500,5.2794
1500,5.8453
1500,5.7274
1500,5.7101
1500,7.0686
1500,5.5965
1500,5.9640
1500,2.8798
1500,2.2830
1500,3.5747
1500,6.9172
1500,6.8934
1500,5.6324
1500,4.1060
1500,4.1403
1500,6.9749
1500,7.3375
1500,3.1125
1500,4.1647
1500,2.8428
1500,5.6512
1500,7.3514
1500,3.4923
1500,3.4920
1500,8.8578
1500,3.2858
1500,1.1016
1500,0.8954
1500,1.0091
1500,0.8121
1500,1.2982
1500,1.1582
1500,45.0711
1500,0.9527
1500,1.2199
1500,8.5036
1500,4.4071
1500,6.6775
1500,7.9844
1500,6.7223
1500,4.5416
1500,8.7500
1500,6.9406
1500,7.7683
1500,6.5556
1500,7.2058
1500,7.2338
1500,7.2458
1500,7.2563
1500,8.8718
1500,7.5230
1500,7.5775
1500,9.8167
1500,9.3132
1500,9.3551
1500,9.3908
1500,8.6830
1500,9.9564
1500,9.5353
1500,9.5545
1500,9.5925
1500,9.8610
1500,13.2403
1500,12.6283
1500,12.6206
1500,9.9557
1500,9.9964
1500,9.8208
1500,10.0259
1500,9.8489
1500,4.6953
1500,9.8569
1500,12.1926
1500,9.8630
1500,14.0574
1500,4.8897
1500,2.8533
1500,12.9713
1500,1.3802
1500,1.0542
1500,1.0554
1500,1.6091
1500,48.8619
1500,1.3833
1500,0.9494
1500,20.5383
1500,5.3245
1500,5.6255
1500,5.4928
1500,5.7544
1500,5.3489
1500,5.3508
1500,5.5188
1500,9.7622
1500,6.6646
1500,6.8414
1500,7.5758
1500,8.1237
1500,8.1315
1500,8.1107
1500,7.9460
1500,9.8939
1500,11.1180
1500,10.8675
1500,15.6135
1500,16.4005
1500,16.3005
1500,19.4241
1500,19.9165
1500,19.6823
1500,20.5528
1500,20.9559
1500,20.9981
1500,21.5843
1500,21.8404
1500,20.9368
1500,21.2435
1500,21.1444
1500,24.7705
1500,21.1837
1500,19.4224
1500,25.7653
1500,25.7915
1500,6.4653
1500,25.8061
1500,25.7827
1500,25.8096
1500,5.1063
1500,25.9262
1500,22.7167
1500,3.9378
1500,1.6605
1500,2.2365
1500,1.4052
1500,47.2955
1500,17.3185
1500,17.2868
1500,17.2927
1500,18.3428
1500,18.2122
1500,9.5988
1500,9.6433
1500,6.3923
1500,6.7798
1500,4.9229
1500,5.9457
1500,5.0617
1500,6.0261
1500,5.0753
1500,1.3371
1500,5.1374
1500,1.4341
1500,1.8329
1500,0.8709
1500,0.9392
1500,0.8861
1500,0.9244
1500,0.7618
1500,0.8141
1500,0.8290
1500,1.4740
1500,1.3659
1500,1.3627
1500,1.3707
1500,1.4014
1500,0.9480
1500,0.9148
1500,0.9570
1500,1.1290
1500,2.0337
1500,1.9244
1500,1.1901
1500,2.0804
1500,1.4154
1500,2.1627
1500,2.3188
1500,2.1972
1500,0.8034
1500,2.9619
1500,1.0825
1500,1.0802
1500,1.1805
1500,1.1777
1500,1.0191
1500,41.8840
1500,26.3218
1500,26.4508
1500,26.3708
1500,26.4002
1500,26.3994
1500,26.6790
1500,26.7463
1500,26.7203
1500,7.8503
1500,8.5145
1500,8.5916
1500,7.7575
1500,6.1466
1500,5.1600
1500,16.6381
1500,10.1153
1500,25.8826
1500,15.0684
1500,24.9314
1500,12.0969
1500,7.4039
1500,5.5565
1500,3.1973
1500,16.1621
1500,16.4048
1500,3.2692
1500,15.5238
1500,1.4211
1500,1.4639
1500,17.8954
1500,3.0842
1500,3.8209
1500,3.0841
1500,2.8375
1500,3.0940
1500,16.8573
1500,5.2069
1500,7.4723
1500,7.6373
1500,3.8359
1500,2.9115
1500,3.2038
1500,16.4213
1500,3.1856
1500,3.5250
1500,4.8445
1500,1.3397
1500,1.5653
1500,1.8937
1500,3.2772
1500,11.6547
1500,12.0003
1500,9.5089
1500,12.0010
1500,7.7752
1500,9.7220
1500,7.8007
1500,9.8267
1500,1.0867
1500,3.6358
1500,4.7207
1500,2.4200
1500,2.4463
1500,2.4912
1500,3.1587
1500,1.1057
1500,7.9905
1500,6.5398
1500,5.8839
1500,5.8238
1500,5.8697
1500,5.9978
1500,7.6894
1500,6.7469
1500,3.6856
1500,2.6861
1500,3.2534
1500,3.2603
1500,2.3422
1500,3.8429
1500,4.5741
1500,2.1946
1500,3.5440
1500,2.4985
1500,4.6794
1500,3.7193
1500,4.8419
1500,3.6878
1500,4.8243
1500,4.7617
1500,1.5825
1500,2.2265
1500,4.3522
1500,4.4297
1500,4.4747
1500,5.3228
1500,4.5335
1500,4.7506
1500,1.9021
1500,44.1161
1500,8.7695
1500,10.9198
1500,15.8398
1500,14.3530
1500,17.4444
1500,12.0583
1500,16.0739
1500,15.8031
1500,15.9480
1500,16.1319
1500,16.3818
1500,15.5249
1500,15.7333
1500,16.1686
1500,16.7086
1500,16.6138
1500,3.9563
1500,3.8425
1500,4.7350
1500,4.3700
1500,4.7240
1500,4.7640
1500,4.6188
1500,4.8267
1500,5.5247
1500,5.7008
1500,2.2438
1500,5.7881
1500,2.3667
1500,2.2643
1500,2.3710
1500,1.5650
1500,2.5635
1500,2.5005
1500,2.5050
1500,2.3541
1500,1.5224
1500,1.5553
1500,1.2312
1500,1.3062
1500,1.1339
1500,1.3965
1500,1.2241
1500,4.0804
1500,1.6101
1500,4.1766
1500,2.1764
1500,1.9962
1500,1.3847
1500,44.8432
1500,8.5016
1500,9.1262
1500,4.2089
1500,3.5404
1500,4.0375
1500,4.0372
1500,3.3743
1500,4.1313
1500,2.4242
1500,4.8686
1500,1.0089
1500,2.5116
1500,2.6843
1500,2.6102
1500,1.1630
1500,0.9789
1500,1.1169
1500,1.0475
1500,1.0183
1500,0.9485
1500,0.9477
1500,1.0594
1500,1.0641
1500,0.9400
1500,1.8053
1500,0.9708
1500,1.0313
1500,1.9206
1500,1.8051
1500,1.0983
1500,1.1740
1500,2.1026
1500,1.5416
1500,0.9691
1500,1.0913
1500,0.9888
1500,1.1520
1500,1.1470
1500,1.1408
1500,1.3135
1500,3.2865
1500,3.4670
1500,3.4617
1500,3.4099
1500,4.1205
1500,3.4216
1500,1.3504
1500,1.1323
1500,1.3809
1500,48.0729
1500,7.8702
1500,4.7302
1500,4.7317
1500,5.0565
1500,4.9348
1500,5.8560
1500,4.1764
1500,4.8905
1500,4.5019
1500,5.1616
1500,4.9409
1500,4.4672
1500,4.9517
1500,6.2371
1500,3.6201
1500,2.3892
1500,5.3805
1500,5.0528
1500,4.3348
1500,5.6660
1500,4.4804
1500,5.7053
1500,6.8856
1500,2.5544
1500,4.7119
1500,4.8567
1500,6.1950
1500,4.7854
1500,4.8356
1500,4.8363
1500,6.6016
1500,6.5813
1500,6.8736
1500,1.5611
1500,7.8927
1500,1.5413
1500,5.7500
1500,5.4058
1500,3.9492
1500,5.8438
1500,2.5817
1500,2.5673
1500,5.8388
1500,1.1047
1500,0.8830
1500,1.0064
1500,1.2279
1500,1.3610
1500,1.5598
1500,1.4265
1500,3.2930
1500,3.8519
1500,3.5947
1500,4.3943
1500,4.3991
1500,4.1986
1500,3.0799
1500,4.2584
1500,2.6965
1500,1.7939
1500,4.2763
1500,4.3738
1500,4.1876
1500,6.6103
1500,4.2179
1500,5.9320
1500,2.8096
1500,6.6855
1500,5.6826
1500,6.7384
1500,5.9149
1500,5.1108
1500,5.6477
1500,7.0160
1500,6.7623
1500,6.0153
1500,3.0312
1500,4.1160
1500,3.1703
1500,5.4604
1500,3.5852
1500,6.1456
1500,4.1085
1500,2.6060
1500,4.0030
1500,4.2169
1500,4.0260
1500,4.4025
1500,4.4067
1500,1.8313
1500,4.0950
1500,1.7082
1500,1.4486
1500,1.8390
1500,1.2870
1500,1.1158
1500,1.1876
1500,1.2233
1500,1.0530
1500,52.6026
1500,4.8188
1500,4.2133
1500,2.8044
1500,4.8318
1500,2.8608
1500,5.0782
1500,1.5375
1500,1.5740
1500,4.5983
1500,4.9556
1500,4.5160
1500,4.5104
1500,4.4918
1500,2.3290
1500,2.3340
1500,5.0461
1500,4.5834
1500,4.7624
1500,2.5961
1500,4.6873
1500,4.7909
1500,2.5922
1500,4.7606
1500,2.2749
1500,2.6075
1500,4.6333
1500,3.8730
1500,4.8263
1500,3.8863
1500,4.9334
1500,4.9825
1500,3.0774
1500,5.3026
1500,5.3183
1500,5.4783
1500,3.5425
1500,3.4023
1500,5.7043
1500,0.9203
1500,0.8430
1500,1.0931
1500,0.9814
1500,0.9835
1500,0.9945
1500,2.5752
1500,1.2844
1500,1.0183
1500,1.1623
1500,44.7101
1500,1.1338
1500,5.9488
1500,6.0306
1500,8.1481
1500,6.0643
1500,7.0075
1500,7.2041
1500,6.6512
1500,6.7644
1500,7.0784
1500,7.2421
1500,7.2651
1500,7.3267
1500,7.3295
1500,7.0828
1500,7.2700
1500,7.8741
1500,7.7342
1500,7.7938
1500,7.6220
1500,8.1269
1500,2.9056
1500,8.0115
1500,8.9495
1500,8.6366
1500,5.3927
1500,5.3845
1500,10.6876
1500,8.0127
1500,8.0667
1500,8.6134
1500,8.0453
1500,4.5145
1500,9.0926
1500,8.8909
1500,8.3080
1500,9.3886
1500,5.8373
1500,5.8189
1500,5.8332
1500,8.2648
1500,8.9766
1500,4.4417
1500,5.5112
1500,1.4964
1500,1.2956
1500,1.0079
1500,1.3111
1500,0.9896
1500,1.3145
1500,60.4973
1500,14.7715
1500,16.3435
1500,17.4409
1500,16.5306
1500,13.9551
1500,13.4108
1500,13.4794
1500,13.5662
1500,13.6189
1500,13.5931
1500,13.7082
1500,13.7163
1500,13.6284
1500,16.8007
1500,13.6521
1500,13.7445
1500,13.6490
1500,13.7811
1500,13.9361
1500,15.1011
1500,15.1355
1500,15.1985
1500,16.5790
1500,15.4595
1500,16.9105
1500,16.9386
1500,16.9703
1500,16.9990
1500,17.0234
1500,17.0205
1500,18.3545
1500,17.7173
1500,11.4463
1500,11.4829
1500,18.4657
1500,11.5090
1500,11.5406
1500,17.2243
1500,18.4929
1500,18.4950
1500,17.4845
1500,18.4993
1500,1.1122
1500,1.6417
1500,1.5274
1500,1.8158
1500,1.1845
1500,1.5370
1500,1.2593
1500,59.4957
1500,6.9893
1500,7.2883
1500,7.2965
1500,7.3286
1500,7.0151
1500,7.3403
1500,7.3498
1500,7.0431
1500,7.6644
1500,7.6693
1500,5.9954
1500,6.0187
1500,6.0700
1500,6.6579
1500,6.6130
1500,7.2445
1500,7.2738
1500,7.3100
1500,5.7259
1500,8.3093
1500,8.3127
1500,5.9516
1500,8.2753
1500,6.0048
1500,7.6618
1500,5.9753
1500,6.5343
1500,8.9384
1500,6.6271
1500,6.5919
1500,6.6087
1500,6.6915
1500,6.7021
1500,6.7770
1500,6.7473
1500,6.5173
1500,5.4017
1500,6.7876
1500,4.2736
1500,4.2775
1500,5.8278
1500,8.5816
1500,1.3653
1500,1.4292
1500,0.9900
1500,1.1034
1500,2.4094
1500,1.2100
1500,1.1822
1500,45.7035
1500,14.9896
1500,15.0478
1500,15.1421
1500,15.3630
1500,12.4683
1500,15.3653
1500,17.5215
1500,14.8437
1500,17.6195
1500,14.8541
1500,14.8435
1500,17.1266
1500,17.8863
1500,14.9468
1500,14.6763
1500,17.6758
1500,17.9576
1500,13.9626
1500,5.0651
1500,17.6488
1500,17.6562
1500,15.9492
1500,18.1401
1500,15.3822
1500,18.3645
1500,14.3627
1500,15.9730
1500,18.0996
1500,14.3965
1500,14.3033
1500,13.8480
1500,14.5722
1500,14.6558
1500,14.6855
1500,13.9914
1500,8.3116
1500,14.1183
1500,8.4115
1500,7.0984
1500,14.8573
1500,14.2635
1500,15.0798
1500,14.6640
1500,15.2031
1500,1.0740
1500,1.4834
1500,1.2348
1500,1.3369
1500,1.1888
1500,65.3014
1500,16.0457
1500,14.0436
1500,13.7513
1500,12.4621
1500,16.7927
1500,16.5412
1500,14.9774
1500,16.2944
1500,16.3033
1500,20.1884
1500,13.0880
1500,13.0683
1500,13.2229
1500,13.4455
1500,13.4374
1500,13.4059
1500,13.4492
1500,13.5183
1500,13.5124
1500,14.6888
1500,14.4413
1500,5.7218
1500,14.4142
1500,14.5538
1500,14.5415
1500,14.4725
1500,14.5162
1500,14.5667
1500,14.6361
1500,14.6992
1500,14.8439
1500,14.6050
1500,14.5759
1500,15.4884
1500,15.4858
1500,13.2663
1500,13.4175
1500,15.9409
1500,15.8992
1500,15.9411
1500,15.9088
1500,13.5558
1500,16.0851
1500,16.2235
1500,16.5853
1500,2.5162
1500,1.5630
1500,1.4211
1500,2.8417
1500,61.5287
1500,8.1711
1500,11.6035
1500,7.7601
1500,6.7929
1500,8.3310
1500,8.2175
1500,6.9826
1500,8.4330
1500,11.9186
1500,8.0880
1500,7.3279
1500,8.6722
1500,8.8322
1500,7.6022
1500,7.6777
1500,5.8126
1500,9.5307
1500,9.5008
1500,10.1758
1500,9.9528
1500,11.4670
1500,11.4600
1500,3.0621
1500,8.0085
1500,11.1545
1500,3.3245
1500,8.5337
1500,8.2169
1500,8.5267
1500,7.0853
1500,3.2020
1500,8.2676
1500,11.3092
1500,3.3619
1500,2.7095
1500,8.3415
1500,8.5169
1500,8.3608
1500,8.7315
1500,7.7970
1500,7.7865
1500,7.8098
1500,8.2489
1500,9.0824
